"Indique la respuesta correcta en relación con los convenios. Según el artículo 47.1 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:","No pueden ser formalizados con sujetos de derecho privado.","No pueden tener efectos jurídicos frente a terceros.","Pueden tener prestaciones propias de los contratos.","No pueden tener prestaciones propias de los contratos.","c","El artículo 47.1 de la Ley 40/2015 establece que los convenios pueden incluir prestaciones propias de los contratos, siempre que se ajusten a la normativa aplicable."
"Señale la opción incorrecta respecto de la avocación de acuerdo con la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:", "Los órganos superiores pueden avocar para sí el conocimiento de uno o varios asuntos cuya resolución corresponda ordinariamente o por delegación a sus órganos administrativos dependientes, cuando circunstancias de índole técnica, económica, social, jurídica o territorial lo hagan conveniente.", "En los supuestos de delegación de competencias en órganos no dependientes jerárquicamente, el conocimiento de un asunto lo puede avocar únicamente por el órgano delegante.", "En todo caso, la avocación se llevará a cabo mediante acuerdo motivado, que será notificado a los interesados en el procedimiento, si lo hubiere, con posterioridad a la resolución final que se dicte.", "Contra el acuerdo de avocación no se puede interponer recurso, aunque puede impugnarse en el recurso que, en su caso, se interponga contra la resolución del procedimiento.", "c", "El artículo 20 de la Ley 40/2015 establece que el acuerdo de avocación debe notificarse a los interesados antes de la resolución final, no después."
"Indique la respuesta correcta en relación con lo dispuesto en el artículo 32.7 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público:", "La responsabilidad patrimonial del Estado por el funcionamiento de la Administración de Justicia se rige por el Real decreto 429/1993, de 26 de marzo, por el que se aprueba el Reglamento de los procedimientos de las administraciones públicas en materia de responsabilidad patrimonial.", "La responsabilidad patrimonial del Estado por el funcionamiento de la Administración de Justicia se rige por la Ley orgánica 6/1985, de 1 de julio, del poder judicial.", "La responsabilidad patrimonial del estado por el funcionamiento de la Administración de Justicia se rige por la Ley 40/2015 de 1 de octubre de régimen jurídico del sector público.", "La responsabilidad patrimonial del Estado por el funcionamiento de la Administración de Justicia se rige por la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas.", "b", "El artículo 32.7 de la Ley 40/2015 establece que la responsabilidad patrimonial del Estado por el funcionamiento de la Administración de Justicia se rige por la Ley Orgánica 6/1985, del Poder Judicial."
"Para la válida constitución de los órganos colegiados, el artículo 17 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, exige:", "La asistencia, presencial o a distancia, del presidente y secretario o, en su caso, de quienes les suplan, y la mitad, al menos de sus miembros, a efectos de la celebración de sesiones, deliberaciones y toma de acuerdos.", "La asistencia presencial del presidente y secretario o, en su caso, de quienes les suplan, y de todos sus miembros, a efectos de la celebración de sesiones, deliberaciones y toma de acuerdos.", "La asistencia presencial del presidente y secretario o, en su caso, de quienes les suplan, y de la mitad al menos de sus miembros, a efectos de la celebración de sesiones y deliberaciones, y la de todos sus miembros, para la toma de acuerdos.", "La asistencia, presencial oa distancia, de al menos la mitad de sus miembros, a efectos de la celebración de sesiones y deliberaciones; sólo será necesaria la asistencia del presidente y el secretario, para la toma de acuerdos.", "a", "El artículo 17 de la Ley 40/2015 establece que se requiere la asistencia del presidente y secretario, o quienes les suplan, y de la mitad, al menos, de sus miembros para la válida constitución de los órganos colegiados."
"Según el artículo 47 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, son convenios:", "Los acuerdos con efectos jurídicos adoptados por las administraciones públicas, los organismos públicos y las entidades de derecho público vinculados o dependientes o las universidades públicas entre sí o con sujetos de derecho privado para una finalidad común.", "Los que se formalicen para actuar con un objetivo común, aunque no supongan la formalización de compromisos jurídicos.", "Los que tienen por objeto una delegación de competencias entre órganos.", "Los acuerdos por los que se formalicen prestaciones propias de los contratos.", "a", "El artículo 47 de la Ley 40/2015 define los convenios como acuerdos con efectos jurídicos adoptados por las administraciones públicas y otros entes públicos para una finalidad común."
"De acuerdo con el artículo 53 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, ¿qué convenios deben enviarse al Tribunal de Cuentas o al órgano de externo de fiscalización de la comunidad autónoma en los tres meses siguientes a la suscripción?", "Cualquier convenio cuyos compromisos económicos asumidos superen los 500.000 euros.", "Cualquier convenio cuyos compromisos económicos asumidos superen los 600.000 euros.", "Todos los convenios.", "Los convenios interadministrativos suscritos entre dos o más administraciones públicas.", "b", "El artículo 53 de la Ley 40/2015 establece que los convenios cuyos compromisos económicos superen los 600.000 euros deben enviarse al Tribunal de Cuentas o al órgano de fiscalización externa de la comunidad autónoma."
"Señale la afirmación correcta. De conformidad con lo que dispone el artículo 81 de la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, que regula los principios generales de actuación del sector público institucional:", "Las entidades que integran el sector público institucional están sometidas en su actuación a los principios de legalidad, eficiencia, estabilidad presupuestaria y sostenibilidad financiera, así como al principio de transparencia en su gestión.", "Las entidades que integran el sector público institucional no se sujetarán en materia de personal, incluido el laboral, a las limitaciones previstas en materia presupuestaria.", "Las administraciones autonómicas y locales pueden establecer un sistema de supervisión continua de sus entidades dependientes, a fin de comprobar la subsistencia de los motivos que justificaron su creación.", "Los organismos y entidades vinculados o dependientes de la Administración autonómica y local se rigen por las disposiciones propias considerando que la Ley 40/2015 se aplica exclusivamente al sector público de la Administración General del Estado.", "a", "El artículo 81 de la Ley 40/2015 establece que las entidades del sector público institucional están sometidas a los principios de legalidad, eficiencia, estabilidad presupuestaria, sostenibilidad financiera y transparencia."
"Señale la opción incorrecta. De acuerdo con el artículo 5 de la Ley 40/2015, de 1 de octubre, del Régimen Jurídico del Sector Público, la creación de cualquier órgano administrativo exige, al menos, el cumplimiento de los siguientes requisitos:", "Determinación de su forma de integración en la Administración pública de que se trate y su dependencia jerárquica.", "Delimitación de sus funciones y competencias.", "Dotación de los créditos necesarios para su puesta en marcha y funcionamiento.", "Ubicación geográfica de sus dependencias.", "d", "El artículo 5 de la Ley 40/2015 no menciona la ubicación geográfica de las dependencias como requisito para la creación de un órgano administrativo."
"Señale la opción incorrecta en relación con los convenios administrativos:", "Tienen como finalidad mejorar la eficiencia de la gestión pública.", "Tienen como finalidad contribuir a la realización de actividades de utilidad privada.", "Deben facilitar la utilización conjunta de medios y servicios públicos.", "Deben cumplir la legislación de estabilidad presupuestaria y sostenibilidad financiera.", "b", "Los convenios administrativos no tienen como finalidad contribuir a la realización de actividades de utilidad privada, sino mejorar la eficiencia de la gestión pública y facilitar la utilización conjunta de medios y servicios públicos."
"Las diferentes administraciones públicas actúan y se relacionan entre ellas y con las entidades u organismos vinculados a ellas de acuerdo con el principio:", "De cooperación.", "De colaboración.", "De lealtad institucional.", "Todas las respuestas anteriores son correctas.", "d", "El artículo 3 de la Ley 40/2015 establece que las administraciones públicas actúan y se relacionan entre sí y con los organismos vinculados a ellas de acuerdo con los principios de cooperación, colaboración y lealtad institucional."
"La resolución de los convenios da lugar a su liquidación con el objeto de determinar:", "Los derechos de cada una de las partes.", "Los derechos y obligaciones de una de las partes.", "Las obligaciones y compromisos de cada una de las partes.", "Las expectativas y compromisos de cada una de las partes.", "c", "El artículo 52 de la Ley 40/2015 establece que la resolución de los convenios da lugar a su liquidación para determinar las obligaciones y compromisos de cada una de las partes."
"Los consorcios se rigen por lo que se establece:", "En la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público.", "En la normativa autonómica de desarrollo, en su caso.", "En sus estatutos.", "Todas las respuestas anteriores son correctas.", "d", "Los consorcios se rigen por la Ley 40/2015, la normativa autonómica de desarrollo y sus estatutos, según lo establecido en el artículo 85 de la Ley 40/2015."
"Señale la opción correcta. En relación con el funcionamiento de los órganos colegiados, la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, permite la deliberación y acuerdo de los asuntos que no figuren incluidos en el orden del día de la sesión que se remitió junto con la convocatoria, siempre que:", "Asistan todos los miembros del órgano colegiado y se declare la urgencia del asunto por mayoría absoluta.", "Asistan la mayoría absoluta de los miembros del órgano colegiado y se declare la urgencia del asunto por el voto favorable de la mayoría.", "Asistan los miembros del órgano colegiado y se declare la urgencia del asunto por unanimidad.", "Asistan todos los miembros del órgano colegiado y se declare la urgencia del asunto por el voto favorable de la mayoría.", "a", "El artículo 17.3 de la Ley 40/2015 establece que la deliberación y acuerdo de asuntos no incluidos en el orden del día requiere la asistencia de todos los miembros y la declaración de urgencia por mayoría absoluta."
"De conformidad con la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, los organismos públicos vinculados o dependientes de la Administración General del Estado se clasifican:", "En organismos autónomos y entidades públicas empresariales.", "En organismos autónomos y agencias estatales.", "En organismos autónomos, consorcios y agencias estatales.", "En organismos autónomos, entidades públicas empresariales y agencias estatales.", "d", "El artículo 95 de la Ley 40/2015 clasifica los organismos públicos vinculados o dependientes de la Administración General del Estado en organismos autónomos, entidades públicas empresariales y agencias estatales."
"Señale la opción correcta. En relación con la delegación de competencias relativas a la resolución de recursos ante los órganos administrativos que hayan dictado los actos recurridos, la Ley 40/2015, de 1 de octubre, de régimen jurídico del sector público, establece:", "Que la delegación debe ser expresa.", "La delegación deberá publicarse en el boletín oficial correspondiente.", "Que la delegación sólo puede realizarse en órganos que estén bajo la dependencia jerárquica del órgano que delega.", "Que en ningún caso pueden ser objeto de delegación las competencias relativas a esta materia.", "d", "El artículo 9.2.c) de la Ley 40/2015 establece que en ningún caso podrán ser objeto de delegación las competencias relativas a esta materia."
