"Según el art. 35.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, los actos serán motivados:", "Con sucinta referencia de hechos y fundamentos de derecho.", "Con extensa referencia a los hechos.", "Con sucinta referencia a los fundamentos de derecho.", "Con extensa referencia de hechos y fundamentos de derecho.", "a", "El artículo 35.1 de la Ley 39/2015 establece que los actos administrativos deben ser motivados con una sucinta referencia de hechos y fundamentos de derecho."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 112.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Contra las disposiciones administrativas de carácter general cabrá recurso en vía administrativa.", "Los reglamentos podrán sustituir el recurso de alzada por otros procedimientos de impugnación, reclamación, conciliación, mediación y arbitraje.", "Los recursos contra un acto administrativo que se funden únicamente en la nulidad de alguna disposición administrativa de carácter general podrán interponerse directamente ante el órgano que dictó dicha disposición.", "Se puede interponer recurso de alzada o de reposición contra todos los actos de trámite.", "c", "El artículo 112.3 de la Ley 39/2015 establece que los recursos contra un acto administrativo que se funden únicamente en la nulidad de alguna disposición administrativa de carácter general podrán interponerse directamente ante el órgano que dictó dicha disposición."
"Según el art. 114.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿cuál de los actos siguientes pone fin a la vía administrativa?", "Las resoluciones de los órganos administrativos que tengan superior jerárquico.", "La resolución administrativa de los procedimientos de responsabilidad patrimonial, cualquiera que fuese el tipo de relación, pública o privada, de que derive.", "Los acuerdos que inicien la negociación de pactos, convenios o contratos.", "Todas las respuestas son correctas.", "b", "El artículo 114.1 de la Ley 39/2015 establece que la resolución administrativa de los procedimientos de responsabilidad patrimonial, cualquiera que fuese el tipo de relación, pública o privada, de que derive, pone fin a la vía administrativa."
"De acuerdo con el art. 115.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, en la interposición de un recurso no hay obligación de expresar:", "El acto que se recurre y la razón de su impugnación.", "Los plazos de resolución del recurso.", "El órgano, centro o unidad administrativa al que se dirige y su correspondiente código de identificación.", "El lugar, fecha y firma del recurrente.", "b", "El artículo 115.1 de la Ley 39/2015 establece que en la interposición de un recurso no hay obligación de expresar los plazos de resolución del recurso."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 115.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Los recursos administrativos pueden presentarse de forma anónima.", "El transcurso del plazo para la interposición del recurso no es una causa de inadmisión.", "El error o la ausencia de la calificación del recurso por parte del recurrente no será obstáculo para su tramitación, siempre que se deduzca su verdadero carácter.", "Los vicios y defectos que hagan anulable un acto podrán ser alegados por quienes los hubieren causado.", "c", "El artículo 115.2 de la Ley 39/2015 establece que el error o la ausencia de la calificación del recurso por parte del recurrente no será obstáculo para su tramitación, siempre que se deduzca su verdadero carácter."
"Según el art. 116 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿cómo debe actuar un órgano administrativo cuando considere que la competencia para resolver un recurso corresponde a otra Administración Pública?", "Remitirá directamente el recurso al órgano que considere competente, debiendo notificar esta circunstancia a los interesados.", "Deberá desestimar el recurso, debiendo notificar esta circunstancia a los interesados.", "Deberá requerir al interesado para que subsane el recurso.", "Remitirá el recurso al órgano superior jerárquico.", "a", "El artículo 116 de la Ley 39/2015 establece que cuando un órgano administrativo considere que la competencia para resolver un recurso corresponde a otra Administración Pública, remitirá directamente el recurso al órgano que considere competente, debiendo notificar esta circunstancia a los interesados."
"Según el art. 117.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, ¿en qué circunstancias puede suspenderse la ejecución del acto impugnado?", "Cuando la ejecución pudiera causar perjuicios de imposible o difícil reparación.", "Cuando la impugnación se fundamente en alguna de las causas de nulidad de pleno derecho previstas en el artículo 47.1 de esta Ley.", "Cuando la ejecución pudiera causar perjuicios de imposible o difícil reparación o cuando la impugnación se fundamente en alguna de las causas de nulidad de pleno derecho previstas en el artículo 47.1 de esta Ley.", "Cuando la ejecución pudiera causar perjuicios de imposible o difícil reparación o cuando la impugnación se fundamente en alguna de las causas de nulidad o de anulabilidad previstas en los artículos 47 y 48 de esta Ley.", "c", "El artículo 117.2 de la Ley 39/2015 establece que la ejecución del acto impugnado puede suspenderse cuando la ejecución pudiera causar perjuicios de imposible o difícil reparación o cuando la impugnación se fundamente en alguna de las causas de nulidad de pleno derecho previstas en el artículo 47.1 de esta Ley."
"Según el art. 117.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, la ejecución del acto impugnado se entenderá suspendida:", "Si transcurrido un mes desde que la solicitud de suspensión haya tenido entrada en cualquier registro electrónico, el órgano a quien competa resolver el recurso no ha dictado y notificado resolución expresa al respecto.", "Transcurrido un mes desde que la solicitud de suspensión haya tenido entrada en el registro electrónico de la Administración u Organismo competente para decidir sobre la misma.", "Si transcurrido un mes desde que la solicitud de suspensión haya tenido entrada en el registro electrónico de la Administración u Organismo competente para decidir sobre la misma, el órgano a quien competa resolver el recurso no ha dictado y notificado resolución expresa al respecto.", "Transcurrido un mes desde que la solicitud de suspensión haya tenido entrada en cualquier registro electrónico.", "c", "El artículo 117.3 de la Ley 39/2015 establece que la ejecución del acto impugnado se entenderá suspendida si transcurrido un mes desde que la solicitud de suspensión haya tenido entrada en el registro electrónico de la Administración u Organismo competente para decidir sobre la misma, el órgano a quien competa resolver el recurso no ha dictado y notificado resolución expresa al respecto."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 117.4 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo a la suspensión de la ejecución de los actos:", "La ejecución se deberá suspender cuando la impugnación se fundamente en alguna de las causas de nulidad de pleno derecho previstas en el artículo 47.1 de esta Ley.", "La suspensión se prolongará después de agotada la vía administrativa cuando, habiéndolo solicitado previamente el interesado, exista medida cautelar y los efectos de ésta se extiendan a la vía contencioso-administrativa.", "Al dictar el acuerdo de suspensión se deberán adoptar medidas cautelares para asegurar la eficacia de la resolución.", "Si el interesado interpone un recurso contencioso-administrativo decaerá automáticamente la suspensión de la ejecución del acto.", "b", "El artículo 117.4 de la Ley 39/2015 establece que la suspensión se prolongará después de agotada la vía administrativa cuando, habiéndolo solicitado previamente el interesado, exista medida cautelar y los efectos de ésta se extiendan a la vía contencioso-administrativa."
"Según el art. 118.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo al trámite de audiencia a los interesados en un recurso administrativo:", "No podrá solicitarse la práctica de pruebas cuando su falta de realización en el procedimiento en el que se dictó la resolución recurrida fuera imputable al interesado.", "Podrá solicitarse la práctica de todas las pruebas que no se hayan realizado durante el procedimiento.", "No podrá solicitarse la práctica de pruebas que no se hayan realizado durante el procedimiento.", "Podrá solicitarse la práctica de todas las pruebas que sean relevantes para la decisión del procedimiento.", "a", "El artículo 118.1 de la Ley 39/2015 establece que no podrá solicitarse la práctica de pruebas cuando su falta de realización en el procedimiento en el que se dictó la resolución recurrida fuera imputable al interesado."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 118.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, relativo al trámite de audiencia a los interesados en un recurso administrativo:", "El recurso, los informes y las propuestas tienen el carácter de documentos nuevos a los efectos de este artículo.", "No se tendrán en cuenta en la resolución de los recursos, hechos, documentos o alegaciones del recurrente, cuando habiendo podido aportarlos en el trámite de alegaciones no lo haya hecho.", "Si hubiera otros interesados se les dará, en todo caso, traslado del recurso para que en el plazo de quince días aleguen cuanto estimen procedente.", "Tienen carácter de documentos nuevos los que los interesados hayan aportado al expediente antes de recaer la resolución impugnada.", "b", "El artículo 118.1 de la Ley 39/2015 establece que no se tendrán en cuenta en la resolución de los recursos, hechos, documentos o alegaciones del recurrente, cuando habiendo podido aportarlos en el trámite de alegaciones no lo haya hecho."
"Según el art. 119.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando el órgano competente considere que existe un vicio de forma en un acto recurrido:", "Debe acordar la convalidación de actuaciones de acuerdo con lo dispuesto en el artículo 52.", "No debe acordar la convalidación de actuaciones de acuerdo con lo dispuesto en el artículo 52.", "Puede acordar la convalidación de actuaciones de acuerdo con lo dispuesto en el artículo 52.", "Puede retrotraer el procedimiento y debe acordar la convalidación de actuaciones de acuerdo con lo dispuesto en el artículo 52.", "c", "El artículo 119.2 de la Ley 39/2015 establece que cuando el órgano competente considere que existe un vicio de forma en un acto recurrido, puede acordar la convalidación de actuaciones de acuerdo con lo dispuesto en el artículo 52."
"Según el art. 119.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el órgano que resuelva un recurso administrativo:", "Decidirá cuantas cuestiones, tanto de forma como de fondo, plantee el procedimiento, siempre que hayan sido alegadas por los interesados.", "Podrá decidir sobre las cuestiones de forma y fondo que plantee el procedimiento que hayan sido alegadas por los interesados.", "Decidirá cuantas cuestiones, tanto de forma como de fondo, plantee el procedimiento, hayan sido o no alegadas por los interesados.", "Solo podrá decidir sobre las cuestiones fondo que plantee el procedimiento aunque no hayan sido alegadas por los interesados.", "c", "El artículo 119.3 de la Ley 39/2015 establece que el órgano que resuelva un recurso administrativo decidirá cuantas cuestiones, tanto de forma como de fondo, plantee el procedimiento, hayan sido o no alegadas por los interesados."
"Según el art. 120.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, cuando deban resolverse una pluralidad de recursos administrativos que traigan causa de un mismo acto administrativo y se hubiera interpuesto un recurso judicial contra una resolución administrativa:", "El órgano administrativo podrá acordar la suspensión del plazo para resolver hasta que recaiga pronunciamiento judicial, a petición de los interesados.", "El órgano administrativo debe acordar la suspensión del plazo para resolver hasta que recaiga sentencia firme.", "El órgano administrativo debe acordar la suspensión del plazo para resolver hasta que recaiga pronunciamiento judicial.", "El órgano administrativo podrá acordar la suspensión del plazo para resolver hasta que recaiga pronunciamiento judicial.", "d", "El artículo 120.1 de la Ley 39/2015 establece que el órgano administrativo podrá acordar la suspensión del plazo para resolver hasta que recaiga pronunciamiento judicial."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 121.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Los actos administrativos que pongan fin a la vía administrativa deberán ser recurridos en alzada como requisito previo para impugnarlos ante la jurisdicción contenciosa administrativa.", "Contra los actos firmes en vía administrativa se podrá interponer un recurso de alzada ante el superior jerárquico del órgano que dictó el acto.", "El recurso de alzada podrá interponerse ante el órgano que dictó el acto que se impugna o ante el competente para resolverlo.", "Contra la resolución de un recurso de alzada se podrá interponer un recurso de reposición.", "c", "El artículo 121.2 de la Ley 39/2015 establece que el recurso de alzada podrá interponerse ante el órgano que dictó el acto que se impugna o ante el competente para resolverlo."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 122 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "El plazo para interponer un recurso de reposición contra los actos expresos es de un mes y el plazo para resolver el recurso es de tres meses.", "El plazo para interponer un recurso de alzada contra los actos expresos es de un mes y el plazo para resolver el recurso es de un mes.", "El plazo para interponer un recurso de reposición contra los actos expresos es de tres meses y el plazo para resolver el recurso es de un mes.", "El plazo para interponer un recurso de alzada contra los actos expresos es de un mes y el plazo para resolver el recurso es de tres meses.", "d", "El artículo 122 de la Ley 39/2015 establece que el plazo para interponer un recurso de alzada contra los actos expresos es de un mes y el plazo para resolver el recurso es de tres meses."
"Según el art. 122.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el plazo para la interposición del recurso de alzada:", "Será de un mes, si el acto fuera expreso. Transcurrido dicho plazo sin haberse interpuesto el recurso, la resolución será firme a todos los efectos.", "Será de tres meses, si el acto fuera expreso. Transcurrido dicho plazo sin haberse interpuesto el recurso, la resolución será firme a todos los efectos.", "Será de un mes, si el acto fuera expreso. Transcurrido dicho plazo sin haberse interpuesto el recurso, la resolución agotará la vía administrativa a todos los efectos.", "Será de tres meses, si el acto fuera expreso. Transcurrido dicho plazo sin haberse interpuesto el recurso, la resolución agotará la vía administrativa a todos los efectos.", "a", "El artículo 122.1 de la Ley 39/2015 establece que el plazo para la interposición del recurso de alzada será de un mes, si el acto fuera expreso. Transcurrido dicho plazo sin haberse interpuesto el recurso, la resolución será firme a todos los efectos."
"Según el art. 122.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el recurso de alzada:", "Debe interponerse en el plazo de tres meses, si el acto fuera expreso.", "Puede interponerse contra las resoluciones y actos a que se refiere el artículo 112.1, cuando pongan fin a la vía administrativa.", "Debe resolverse en el plazo de un mes, si el acto fuera expreso, y de tres meses, si el acto fuera tácito.", "Debe resolverse y notificarse en el plazo de tres meses.", "d", "El artículo 122.2 de la Ley 39/2015 establece que el recurso de alzada debe resolverse y notificarse en el plazo de tres meses."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 123.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Los actos administrativos que pongan fin a la vía administrativa deben ser recurridos en reposición ante el mismo órgano que los haya dictado.", "Los actos firmes pueden ser impugnados directamente ante el orden jurisdiccional contencioso-administrativo.", "El plazo máximo para dictar y notificar la resolución del recurso de reposición será de tres meses.", "No se podrá interponer recurso contencioso-administrativo hasta que sea resuelto expresamente o se haya producido la desestimación presunta del recurso de reposición interpuesto.", "d", "El artículo 123.2 de la Ley 39/2015 establece que no se podrá interponer recurso contencioso-administrativo hasta que sea resuelto expresamente o se haya producido la desestimación presunta del recurso de reposición interpuesto."
"Según el art. 124.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, si el acto no fuera expreso, el solicitante y otros posibles interesados podrán interponer recurso de reposición:", "En cualquier momento a partir del día siguiente a aquel en que, de acuerdo con su normativa específica, se produzca el acto presunto.", "En el plazo de seis meses a partir del día siguiente a aquel en que, de acuerdo con su normativa específica, se produzca el acto presunto.", "En cualquier momento a partir del día siguiente a aquel en que hayan transcurrido tres meses desde que se inició el procedimiento.", "En el plazo de un mes a partir del día siguiente a aquel en que, de acuerdo con su normativa específica, se produzca el acto presunto.", "b", "El artículo 124.1 de la Ley 39/2015 establece que si el acto no fuera expreso, el solicitante y otros posibles interesados podrán interponer recurso de reposición en el plazo de seis meses a partir del día siguiente a aquel en que, de acuerdo con su normativa específica, se produzca el acto presunto."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 124.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "Si el acto no fuera expreso, el interesado podrá interponer un recurso de reposición en el plazo de seis meses.", "El plazo máximo para dictar la resolución del recurso de reposición será de tres meses.", "El plazo para la interposición del recurso de reposición será de un mes, si el acto fuera expreso.", "Si el acto no fuera expreso, el interesado deberá interponer recurso de reposición para agotar la vía administrativa.", "a", "El artículo 124.1 de la Ley 39/2015 establece que si el acto no fuera expreso, el interesado podrá interponer un recurso de reposición en el plazo de seis meses."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 124.2 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "El plazo para la interposición del recurso de reposición será de un mes, si el acto fuera expreso, y de tres meses, si fuera presunto.", "Contra la desestimación presunta de un recurso de reposición se podrá interponer un nuevo recurso de reposición en el plazo de tres meses.", "El recurso de reposición podrá interponerse ante el órgano que dictó el acto que se impugna o ante la jurisdicción contencioso administrativa.", "El plazo máximo para dictar y notificar la resolución del recurso de reposición será de un mes.", "a", "El artículo 124.2 de la Ley 39/2015 establece que el plazo para la interposición del recurso de reposición será de un mes, si el acto fuera expreso, y de tres meses, si fuera presunto."
"Según el art. 125.1 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas, el recurso extraordinario de revisión:", "Puede interponerse ante el órgano administrativo que dictó el acto, que también será el competente para su resolución.", "Puede interponerse ante el órgano que dictó el acto o ante su superior jerárquico, que será el competente para su resolución.", "Puede interponerse ante el superior jerárquico del órgano que dictó el acto, que será el competente para su resolución.", "Debe interponerse ante el órgano administrativo que dictó el acto, que lo remitirá al superior jerárquico junto con un informe.", "b", "El artículo 125.1 de la Ley 39/2015 establece que el recurso extraordinario de revisión puede interponerse ante el órgano que dictó el acto o ante su superior jerárquico, que será el competente para su resolución."
"Indique cuál de las siguientes afirmaciones es correcta según el art. 126.3 de la Ley 39/2015, de 1 de octubre, del procedimiento administrativo común de las administraciones públicas:", "El plazo para la interposición del recurso extraordinario de revisión será de tres meses, si el acto fuera expreso.", "Cuando la resolución se hubiese dictado como consecuencia de prevaricación, cohecho, violencia, maquinación fraudulenta u otra conducta punible, el plazo para la interposición del recurso extraordinario de revisión será de tres meses a contar desde la notificación de la sentencia.", "Transcurrido el plazo de tres meses desde la interposición del recurso extraordinario de revisión sin haberse dictado y notificado la resolución, se entenderá desestimado.", "Cuando aparezcan documentos de valor esencial para la resolución del asunto que, aunque sean posteriores, evidencien el error de la resolución recurrida, el plazo para la interposición del recurso extraordinario de revisión será de cuatro años a contar desde la notificación de la resolución impugnada.", "d", "El artículo 126.3 de la Ley 39/2015 establece que cuando aparezcan documentos de valor esencial para la resolución del asunto que, aunque sean posteriores, evidencien el error de la resolución recurrida, el plazo para la interposición del recurso extraordinario de revisión será de cuatro años a contar desde la notificación de la resolución impugnada."
